id,domain,concept,definition_query,application_query,expected_answer
2732,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
2733,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
2734,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
2735,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
2736,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
2737,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
2738,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
2739,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
2740,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",no
2741,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
2742,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
2743,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
2744,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
2745,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
2746,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
2747,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
2748,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
2749,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
2750,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
2751,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
2752,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
2753,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
2754,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
2755,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
2756,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
2757,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
2758,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
2759,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
2760,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
2761,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
2762,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
2763,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
2764,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
2765,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
2766,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
2767,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
2768,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
2769,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
2770,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
2771,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",no
2772,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
2773,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
2774,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
2775,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
2776,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
2777,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
2778,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
2779,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
2780,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
2781,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
2782,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
2783,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
2784,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
2785,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
2786,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
2787,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
